Title,Author,Rating
Hijab Butch Blues,Lamya H.,"4.50 avg rating — 2,394 ratings"
"Counterfeit Hope (Hidden Hearts of the Gilded Age, #2)",Crystal Caudill,4.69 avg rating — 81 ratings
"If Only You (Bergman Brothers, #6)",Chloe Liese,"4.13 avg rating — 8,346 ratings"
"Superbia (Shades of Sin, #2)",Colette Rhodes,"4.21 avg rating — 1,504 ratings"
"Silk Malice (Snow White, #2)",Eve Dangerfield,4.09 avg rating — 357 ratings
Thorne Princess,L.J. Shen,"3.97 avg rating — 11,898 ratings"
"Twisted (Never After, #4)",Emily McIntire,"3.97 avg rating — 20,360 ratings"
"Spice Road (Spice Road Trilogy, #1)",Maiya Ibrahim,"3.76 avg rating — 2,682 ratings"
"Wilder at Last (Wilder Adventures, #5)",Serena Bell,4.07 avg rating — 468 ratings
"The Backup Plan (Sunrise Cove, #3)",Jill Shalvis,"4.12 avg rating — 3,585 ratings"
"Legacy (Empire, #2)",Sheridan Anne,4.55 avg rating — 767 ratings
"Forgery (Valenshek Legacy, #2)",Tate James,4.35 avg rating — 865 ratings
Phaedra,Laura Shepperson,"3.32 avg rating — 1,645 ratings"
"The Forbidden Wolf King (Kings of Avalier, #4)",Leia Stone,4.38 avg rating — 13 ratings
"House of Odysseus (The Songs of Penelope, #2)",Claire North,4.22 avg rating — 18 ratings
All That Is Mine I Carry with Me,William Landay,"3.90 avg rating — 7,509 ratings"
On the Savage Side,Tiffany   McDaniel,"4.08 avg rating — 2,710 ratings"
"A Killing of Innocents (Duncan Kincaid & Gemma James, #19)",Deborah Crombie,"4.29 avg rating — 3,575 ratings"
The Mitford Affair,Marie Benedict,"3.73 avg rating — 7,474 ratings"
"Liar, Dreamer, Thief",Maria Dong,"3.63 avg rating — 1,506 ratings"
This Bird Has Flown,Susanna  Hoffs,"3.30 avg rating — 2,271 ratings"
The Sweet Spot,Amy Poeppel,"3.97 avg rating — 6,413 ratings"
The Home for Wayward Girls,Marcia  Bradley,3.60 avg rating — 355 ratings
"Sleep No More (Lost Night Files, #1)",Jayne Ann Krentz,"3.99 avg rating — 4,124 ratings"
"Secretly Yours (A Vine Mess, #1)",Tessa Bailey,"3.36 avg rating — 49,417 ratings"
"The Arcadian Incident (Mars Alone, #1)",Andrew Stickland,4.71 avg rating — 7 ratings
"Highest Bidder (Salacious Players Club, #5)",Sara Cate,"4.10 avg rating — 19,983 ratings"
"Coercion (Controlling Interest, #3)",Amelia Wilde,4.37 avg rating — 606 ratings
Romantic Comedy,Curtis Sittenfeld,"3.75 avg rating — 56,157 ratings"
Highly Suspicious and Unfairly Cute,Talia Hibbert,"3.82 avg rating — 16,332 ratings"
"Taken (Detective Kate Miles, #2)",Dinuka McKenzie,4.05 avg rating — 483 ratings
"Rook (Romancing His Stone, #2)",Jillian Graves,it was amazing 5.00 avg rating — 1 rating
West Side Honey,Claire Christian,3.93 avg rating — 224 ratings
Big Swiss,Jen Beagin,"3.70 avg rating — 13,138 ratings"
On the Meaning of Sex: Thoughts about the New Definition of Woman,Kajsa Ekis Ekman,4.11 avg rating — 9 ratings
"Waco Rising: David Koresh, the FBI, and the Birth of America's Modern Militias",Kevin Cook,3.89 avg rating — 654 ratings
"The Temple of Fortuna (Wolf Den Trilogy, #3)",Elodie Harper,4.60 avg rating — 10 ratings
"To Swoon and to Spar (The Regency Vows, #4)",Martha Waters,"3.71 avg rating — 2,104 ratings"
"The Temporary Wife (The Windsors, #2)",Catharina Maura,"4.09 avg rating — 21,213 ratings"
Biography of X,Catherine Lacey,"4.01 avg rating — 1,704 ratings"
The Shadow of Perseus,Claire Heywood,"3.76 avg rating — 1,477 ratings"
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"4.28 avg rating — 11,279 ratings"
"Blood of My Monster (Monster Trilogy, #1)",Rina Kent,"4.26 avg rating — 12,358 ratings"
"The Stars are Dying (Nytefall, #1)",C.C. Peñaranda,4.67 avg rating — 9 ratings
The Bee Sting,Paul Murray,4.10 avg rating — 48 ratings
The Brightest Star,Gail Tsukiyama,3.77 avg rating — 61 ratings
"How Not to Date a Demon (Cautionary Tails, #1)",Lana Kole,3.67 avg rating — 916 ratings
The Mysterious Case of the Alperton Angels,Janice Hallett,"4.21 avg rating — 4,048 ratings"
"All in a Days Orc (Return of the Horde, #3)",Dani Wyatt,3.92 avg rating — 262 ratings
"The Cabinet of Dr. Leng (Pendergast, #21)",Douglas Preston,"4.32 avg rating — 8,996 ratings"
